_ID, TimeSt,Country,Province,City,Latitude,Longitude
4529202,2017-06-21 07:00:34.350,CA,AB,Edmonton,53.53270,-113.62600
4529643,2017-06-21 01:00:36.750,CA,AB,Calgary,50.89210,-113.97745
4529945,2017-06-21 12:00:36.797,CA,AB,Lethbridge,49.67346,-112.89122
4530051,2017-06-21 22:00:37.683,CA,ON,Oshawa,43.89029,-78.81588
4530079,2017-06-21 02:00:38.040,CA,AB,Spruce Grove,53.56082,-113.88283
4530158,2017-06-21 06:00:36.667,CA,ON,Brampton,43.76010,-79.73681
4530252,2017-06-21 16:00:36.783,CA,AB,Beaumont,53.34991,-113.40827
4530326,2017-06-21 19:00:36.873,CA,AB,Calgary,51.06560,-114.06300
4530373,2017-06-21 13:00:38.707,CA,BC,Vancouver,49.24157,-123.09776
4531598,2017-06-21 21:00:39.477,CA,ON,Cambridge,43.39914,-80.32011
4531653,2017-06-21 21:00:41.183,CA,ON,Ingersoll,43.04670,-80.87170
4531745,2017-06-21 15:00:41.317,CA,ON,Markham,43.90594,-79.25172
4531849,2017-06-21 21:00:42.660,CA,ON,Granton,43.20317,-81.22517
4532091,2017-06-21 18:00:44.100,CA,AB,Duchess,50.73108,-111.91317
4532274,2017-06-21 20:00:43.350,CA,BC,Surrey,49.13399,-122.88482
4532563,2017-06-21 14:00:44.190,CA,SK,Coronach,49.11240,-105.52416
4532884,2017-06-21 05:00:48.820,CA,ON,Latchford,47.32530,-79.81163
4533374,2017-06-21 10:00:47.877,CA,ON,North York,43.73486,-79.45085
4533776,2017-06-21 18:00:51.230,CA,ON,Toronto,43.64544,-79.39649
4533995,2017-06-21 22:00:53.013,CA,SK,Prince Albert,53.23738,-105.45485
4534008,2017-06-21 07:00:53.840,CA,AB,Sherwood Park,53.51803,-113.29858
4534273,2017-06-21 13:00:53.693,CA,QC,Montréal-Nord,45.61680,-73.61798
4534410,2017-06-21 16:00:55.410,CA,QC,Pierrefonds,45.45560,-73.92010
4534440,2017-06-21 01:00:52.593,CA,AB,Calgary,51.03874,-113.98560
4534704,2017-06-21 11:00:55.003,CA,AB,Spruce Grove,53.55620,-113.93564
4534788,2017-06-21 03:00:56.117,CA,AB,Derwent,53.73779,-110.72429
4534995,2017-06-21 19:00:53.547,CA,ON,Gananoque,44.34061,-76.19576
4535192,2017-06-21 05:00:55.120,CA,ON,Burlington,43.41318,-79.81299
4535817,2017-06-21 19:00:59.310,CA,AB,Red Deer,52.27220,-113.83000
4536740,2017-06-21 02:01:06.343,CA,ON,Kingston,44.23080,-76.49660
4536827,2017-06-21 00:01:06.527,CA,ON,Oshawa,43.90635,-78.87251
4536873,2017-06-21 01:01:07.147,CA,NS,Elmsdale,44.97537,-63.49725
4536975,2017-06-21 15:01:07.927,CA,QC,Alma,48.54054,-71.65407
4537426,2017-06-21 16:01:07.823,CA,ON,Mississauga,43.56962,-79.66056
4537670,2017-06-21 16:01:06.910,CA,AB,Calgary,50.95830,-114.06800
4537923,2017-06-21 03:01:08.283,CA,ON,Mississauga,43.57717,-79.65677
4538007,2017-06-21 18:01:06.830,CA,ON,Brampton,43.76940,-79.76430
4538477,2017-06-21 03:01:08.650,CA,AB,Sherwood Park,53.51967,-113.31028
4538660,2017-06-21 03:01:11.600,CA,ON,Markham,43.85980,-79.32960
4538882,2017-06-21 14:01:12.447,CA,BC,Coquitlam,49.25072,-122.89075
4539149,2017-06-21 01:01:11.863,CA,ON,Dundas,43.26080,-79.96270
4539408,2017-06-21 07:01:11.530,CA,AB,Calgary,51.03104,-113.96829
4539735,2017-06-21 08:01:13.680,CA,QC,Saint Léonard,45.58741,-73.59414
4539814,2017-06-21 18:01:13.963,CA,ON,North York,43.76750,-79.38040
4540255,2017-06-21 03:01:11.837,CA,ON,Toronto,43.66096,-79.37224
4540294,2017-06-21 21:01:12.403,CA,BC,Coquitlam,49.25065,-122.89072
4540328,2017-06-21 02:01:13.113,CA,AB,Fort Mcmurray,56.71990,-111.35700
4541039,2017-06-21 05:01:21.487,CA,AB,Edmonton,53.61245,-113.53369
4541193,2017-06-21 07:01:21.993,CA,ON,Woodbridge,43.82505,-79.58111
4541287,2017-06-21 15:01:22.003,CA,ON,Gloucester,45.42514,-75.60325
4541570,2017-06-21 06:01:21.640,CA,QC,Trois-Rivières,46.47780,-72.64930
4542215,2017-06-21 03:01:22.043,CA,ON,Mississauga,43.60091,-79.70959
4543271,2017-06-21 10:01:22.747,CA,QC,Saint-Jean-Sur-Richelieu,45.29480,-73.26370
4543490,2017-06-21 21:01:24.703,CA,ON,North York,43.74233,-79.43730
4544995,2017-06-21 02:01:28.653,CA,ON,Wingham,43.90050,-81.31690
4545079,2017-06-21 13:01:28.233,CA,AB,Edmonton,53.51198,-113.58520
4545552,2017-06-21 11:01:29.677,CA,ON,Scarborough,43.81668,-79.21307
4545651,2017-06-21 10:01:29.860,CA,ON,Windsor,42.32338,-82.93668
4546802,2017-06-21 11:01:29.460,CA,ON,Woodstock,43.12886,-80.75007
4549651,2017-06-21 03:01:33.640,CA,ON,Waterloo,43.43926,-80.55534
4549947,2017-06-21 12:01:30.037,CA,ON,London,43.01170,-81.27750
4550996,2017-06-21 07:01:31.017,CA,ON,Saint Thomas,42.78274,-81.15057
4551115,2017-06-21 07:01:31.357,CA,ON,North York,43.78248,-79.41783
4551965,2017-06-21 19:01:33.083,CA,ON,Stratford,43.35492,-80.98453
4552352,2017-06-21 10:01:34.450,CA,ON,London,42.92690,-81.20150
4553529,2017-06-21 11:01:36.757,CA,AB,Calgary,51.03821,-114.02956
4554481,2017-06-21 19:01:36.807,CA,ON,Burlington,43.37530,-79.82895
4554998,2017-06-21 10:01:36.360,CA,ON,London,42.92020,-81.31830
4555188,2017-06-21 03:01:36.723,CA,AB,Strathcona,53.56460,-113.27920
4555569,2017-06-21 21:01:35.280,CA,ON,Kitchener,43.44430,-80.48910
4556254,2017-06-21 05:01:36.843,CA,ON,Burlington,43.36961,-79.76472
4557657,2017-06-21 03:01:37.090,CA,ON,Orillia,44.61953,-79.42174
4557911,2017-06-21 04:01:37.327,CA,AB,Calgary,50.90050,-114.09470
4557949,2017-06-21 18:01:37.663,CA,AB,Calgary,51.13270,-114.16600
4558732,2017-06-21 09:01:41.743,CA,AB,Calgary,51.05531,-113.95698
4558784,2017-06-21 17:01:43.320,CA,AB,Forestburg,52.58018,-112.05463
4558811,2017-06-21 09:01:44.613,CA,BC,Lazo,49.70230,-124.91000
4558904,2017-06-21 08:01:42.217,CA,ON,Burlington,43.32210,-79.82952
4558998,2017-06-21 07:01:41.843,CA,AB,Calgary,51.15875,-114.08586
4559173,2017-06-21 03:01:43.957,CA,AB,Fort Mcmurray,56.74335,-111.47086
4559694,2017-06-21 03:01:45.570,CA,ON,Sudbury,46.49330,-80.99670
4559896,2017-06-21 00:01:48.590,CA,ON,Timmins,48.54390,-81.11840
4559950,2017-06-21 05:01:49.150,CA,ON,Sioux Lookout,50.09420,-91.91790
4560361,2017-06-21 05:01:46.113,CA,ON,Barrie,44.41035,-79.72164
4560458,2017-06-21 04:01:46.407,CA,ON,Kingston,44.23070,-76.52090
4560832,2017-06-21 21:01:48.920,CA,ON,Kingston,44.26413,-76.49104
4561168,2017-06-21 14:01:46.187,CA,ON,Toronto,43.59269,-79.53341
4561388,2017-06-21 16:01:47.643,CA,ON,Bracebridge,45.02703,-79.30982
4564108,2017-06-21 02:01:51.967,CA,ON,Toronto,43.66330,-79.37450
4565044,2017-06-21 22:01:52.263,CA,AB,Edmonton,53.62162,-113.49452
4565145,2017-06-21 20:01:53.000,CA,ON,Lindsay,44.35010,-78.73290
4565710,2017-06-21 12:01:50.870,CA,ON,Thunder Bay,48.36840,-89.28400
4566008,2017-06-21 13:01:51.720,CA,ON,Nepean,45.28702,-75.73633
4566104,2017-06-21 15:01:51.730,CA,ON,Windsor,42.28940,-82.72720
4566152,2017-06-21 21:01:51.753,CA,AB,Okotoks,50.73100,-113.97175
4566599,2017-06-21 10:01:52.627,CA,ON,Hornepayne,49.21510,-84.78250
4567232,2017-06-21 22:01:51.690,CA,AB,St Paul,53.99150,-111.29600
4567275,2017-06-21 17:01:51.697,CA,AB,Calgary,50.97148,-114.01145
4567776,2017-06-21 00:01:52.630,CA,ON,Toronto,43.64560,-79.37540
4568739,2017-06-21 21:01:51.703,CA,BC,Surrey,49.19621,-122.84869
4569534,2017-06-21 13:01:54.057,CA,ON,Thunder Bay,48.42280,-89.23720
4570224,2017-06-21 16:01:53.050,CA,ON,Pembroke,45.72685,-76.84731
4570396,2017-06-21 16:01:54.690,CA,ON,Timmins,48.47570,-81.33790
4570562,2017-06-21 12:01:56.937,CA,ON,Sudbury,46.52200,-80.93100
4571021,2017-06-21 12:01:55.053,CA,ON,Thunder Bay,48.38010,-89.25260
4571600,2017-06-21 07:01:58.257,CA,ON,Newmarket,44.04980,-79.49880
4572145,2017-06-21 02:01:56.813,CA,ON,Barrie,44.37411,-79.69510
4575038,2017-06-21 03:01:58.540,CA,ON,Newmarket,44.05175,-79.49840
4575608,2017-06-21 18:02:04.380,CA,AB,Edmonton,53.44916,-113.38780
4575633,2017-06-21 13:02:01.340,CA,BC,Vancouver,49.25799,-123.11512
4575862,2017-06-21 10:02:07.570,CA,NB,Moncton,46.10440,-64.82012
4575952,2017-06-21 22:02:07.707,CA,NL,St. John's,47.55000,-52.66670
4576265,2017-06-21 02:02:08.017,CA,QC,Montréal,45.49068,-73.62277
4576375,2017-06-21 00:02:07.047,CA,QC,Gatineau,45.50025,-75.65488
4576386,2017-06-21 09:02:07.390,CA,AB,Calgary,51.06561,-114.19218
4576492,2017-06-21 03:02:09.557,CA,QC,Pierrefonds,45.51120,-73.81650
4576759,2017-06-21 12:02:07.803,CA,NB,Saint John,45.27320,-66.06480
4577142,2017-06-21 02:02:07.227,CA,AB,Calgary,51.14007,-114.17587
4577474,2017-06-21 09:02:12.097,CA,ON,North York,43.75680,-79.52100
4578395,2017-06-21 04:02:13.957,CA,AB,Calgary,51.01460,-114.21100
4578682,2017-06-21 04:02:20.110,CA,ON,London,42.95903,-81.19382
4579156,2017-06-21 01:02:23.273,CA,AB,Beaumont,53.36205,-113.41755
4579196,2017-06-21 08:02:23.483,CA,NS,Halifax,44.66740,-63.64310
4579399,2017-06-21 08:02:23.237,CA,ON,North York,43.74274,-79.43632
4579752,2017-06-21 22:02:23.170,CA,AB,Edmonton,53.40502,-113.53463
4579897,2017-06-21 05:02:26.377,CA,AB,Edmonton,53.54812,-113.59431
4579962,2017-06-21 22:02:27.093,CA,ON,Oshawa,43.86590,-78.84950
4580910,2017-06-21 22:02:26.267,CA,AB,Edmonton,53.44918,-113.38799
4581069,2017-06-21 00:02:25.993,CA,MB,Winnipeg,49.88400,-97.16500
4581357,2017-06-21 01:02:28.400,CA,SK,Saskatoon,52.12090,-106.57283
4581417,2017-06-21 08:02:29.960,CA,SK,Saskatoon,52.15690,-106.59797
4581634,2017-06-21 16:02:30.280,CA,ON,Kitchener,43.43070,-80.48780
4581672,2017-06-21 00:02:31.130,CA,ON,Toronto,43.69600,-79.41200
4581791,2017-06-21 17:02:30.330,CA,AB,Calgary,50.89867,-113.95401
4582132,2017-06-21 17:02:30.577,CA,ON,Toronto,43.67690,-79.44370
4582656,2017-06-21 17:02:37.717,CA,AB,Calgary,51.03887,-114.07102
4582699,2017-06-21 05:02:37.763,CA,AB,Calgary,51.13960,-114.13000
4583251,2017-06-21 22:02:37.980,CA,ON,North York,43.75660,-79.40350
4583515,2017-06-21 13:02:40.260,CA,MB,Zhoda,49.27140,-96.66300
4583632,2017-06-21 04:02:37.823,CA,AB,Calgary,51.09298,-114.14325
4583913,2017-06-21 11:02:42.223,CA,ON,Brampton,43.76463,-79.72272
4584059,2017-06-21 13:02:38.350,CA,AB,Calgary,51.08723,-113.97823
4584834,2017-06-21 05:02:45.610,CA,AB,Calgary,50.90533,-114.04496
4584880,2017-06-21 08:02:45.303,CA,AB,Calgary,50.89613,-113.94764
4584920,2017-06-21 10:02:46.473,CA,AB,Wrentham,49.42820,-112.38400
4585044,2017-06-21 11:02:46.510,CA,AB,Calgary,51.03292,-113.98363
4585372,2017-06-21 20:02:48.793,CA,ON,North York,43.69591,-79.49831
4585866,2017-06-21 10:02:53.980,CA,ON,Brampton,43.69658,-79.83985
4586219,2017-06-21 15:02:52.913,CA,AB,Airdrie,51.26670,-114.01670
4586270,2017-06-21 19:02:53.193,CA,BC,New Westminster,49.32310,-122.86260
4586789,2017-06-21 03:02:57.503,CA,SK,Saskatoon,52.13690,-106.63800
4587272,2017-06-21 02:02:55.403,CA,QC,Montréal,45.49900,-73.57650
4588832,2017-06-21 09:03:03.323,CA,ON,Mississauga,43.59586,-79.61284
4590265,2017-06-21 17:03:09.640,CA,MB,Winnipeg,49.89030,-97.14740
4590502,2017-06-21 09:03:10.130,CA,ON,North York,43.79507,-79.42559
4590763,2017-06-21 02:03:12.700,CA,SK,Regina,50.47032,-104.59794
4591433,2017-06-21 21:03:15.713,CA,ON,Toronto,43.75234,-79.35632
4591990,2017-06-21 06:03:15.580,CA,ON,London,43.02465,-81.28016
4593096,2017-06-21 14:03:23.080,CA,QC,La Malbaie-Pointe-Au-Pic,47.62442,-70.14300
4593353,2017-06-21 15:03:30.777,CA,ON,Etobicoke,43.73821,-79.56767
4593396,2017-06-21 05:03:31.027,CA,AB,Calgary,51.04988,-114.16644
4593403,2017-06-21 05:03:28.240,CA,BC,Burnaby,49.22979,-123.01254
4593424,2017-06-21 01:03:28.270,CA,ON,North York,43.76187,-79.57559
4593972,2017-06-21 13:03:28.153,CA,AB,Airdrie,51.26370,-114.02100
4594151,2017-06-21 11:03:28.163,CA,SK,Saskatoon,52.28007,-106.66748
4595279,2017-06-21 08:03:38.377,CA,QC,Saint-Nicolas,46.68420,-71.38270
4595507,2017-06-21 05:03:38.243,CA,QC,Quebec,46.84492,-71.42656
4595527,2017-06-21 03:03:38.517,CA,SK,Lake Lenore,52.31670,-104.81780
4595575,2017-06-21 04:03:38.940,CA,SK,Saskatoon,52.12830,-106.62500
4595816,2017-06-21 16:03:38.337,CA,AB,Three Hills,51.83320,-113.21800
4595910,2017-06-21 15:03:39.323,CA,ON,Mississauga,43.56781,-79.74205
4596189,2017-06-21 12:03:43.520,CA,AB,Coronation,52.09569,-111.45104
4596284,2017-06-21 00:03:43.710,CA,AB,Edmonton,53.49917,-113.50047
4596285,2017-06-21 07:03:44.603,CA,ON,Burlington,43.37667,-79.75833
4596296,2017-06-21 06:03:43.347,CA,AB,Lloydminster,53.25630,-110.03460
4596714,2017-06-21 07:03:47.933,CA,AB,Edmonton,53.41789,-113.46630
4597305,2017-06-21 11:03:54.670,CA,AB,Calgary,51.01890,-114.15700
4597371,2017-06-21 00:03:55.050,CA,AB,Sherwood Park,53.51990,-113.33000
4597527,2017-06-21 02:03:54.837,CA,ON,Mississauga,43.57764,-79.61381
4597770,2017-06-21 22:03:58.627,CA,AB,Edson,53.70229,-116.26532
4597783,2017-06-21 07:03:54.613,CA,AB,Calgary,51.10719,-113.92847
4597851,2017-06-21 18:03:54.707,CA,ON,Springbrook,43.67276,-79.81908
4598014,2017-06-21 14:03:54.960,CA,ON,Burlington,43.35480,-79.76070
4598492,2017-06-21 07:04:00.087,CA,AB,Red Deer,52.26960,-113.76397
4598655,2017-06-21 11:03:59.577,CA,AB,Edmonton,53.41130,-113.45200
4598923,2017-06-21 13:04:01.057,CA,AB,Calgary,51.09326,-114.07867
4599594,2017-06-21 17:04:06.710,CA,AB,Alberta Beach,53.63492,-114.22949
4600273,2017-06-21 21:04:09.603,CA,ON,Scarborough,43.81100,-79.33700
4600472,2017-06-21 07:04:09.990,CA,AB,Calgary,51.07151,-114.06871
4600751,2017-06-21 16:04:12.493,CA,AB,Edmonton,53.55922,-113.55441
4600881,2017-06-21 19:04:10.423,CA,AB,Ferrier,52.08270,-114.74900
4600962,2017-06-21 00:04:10.527,CA,AB,Calgary,51.03050,-114.14900
4601328,2017-06-21 15:04:13.833,CA,AB,Edmonton,53.60790,-113.42400
4601803,2017-06-21 20:04:16.463,CA,AB,Calgary,51.03938,-114.12638
4603015,2017-06-21 17:04:21.810,CA,AB,Edmonton,53.52590,-113.64000
4603316,2017-06-21 10:04:24.583,CA,ON,Toronto,43.66560,-79.38300
4603822,2017-06-21 22:04:24.730,CA,ON,Mississauga,43.57930,-79.64360
4604109,2017-06-21 06:04:24.400,CA,ON,Kingston,44.23400,-76.49400
4604246,2017-06-21 03:04:25.017,CA,QC,Gatineau,45.46836,-75.69974
4605069,2017-06-21 13:04:27.170,CA,QC,Bonaventure,48.40960,-64.50080
4605132,2017-06-21 21:04:27.953,CA,AB,Calgary,51.01968,-114.20036
4605583,2017-06-21 22:04:31.463,CA,AB,Calgary,50.99601,-114.07410
4607026,2017-06-21 17:04:38.733,CA,BC,North Vancouver,49.33580,-123.07400
4607497,2017-06-21 10:04:39.707,CA,ON,Toronto,43.68304,-79.32345
4608444,2017-06-21 10:04:44.127,CA,AB,Edmonton,53.47357,-113.39651
4609456,2017-06-21 00:04:46.503,CA,BC,Richmond,49.18083,-123.12187
4609510,2017-06-21 01:04:46.857,CA,AB,Calgary,50.89822,-114.08717
4609726,2017-06-21 06:04:53.737,CA,ON,Mississauga,43.58256,-79.75477
4610232,2017-06-21 21:04:53.373,CA,AB,Edmonton,53.46640,-113.41490
4611578,2017-06-21 06:04:54.850,CA,ON,Georgetown,43.65010,-79.91630
4611743,2017-06-21 19:04:53.860,CA,QC,Montréal,45.51720,-73.57890
4612004,2017-06-21 09:04:54.933,CA,ON,Ancaster,43.21200,-79.99600
4612190,2017-06-21 15:04:56.420,CA,BC,Victoria,48.46955,-123.38264
4612384,2017-06-21 12:04:56.517,CA,ON,North York,43.76943,-79.41350
4612906,2017-06-21 18:04:59.867,CA,AB,Edmonton,53.56050,-113.45912
4613730,2017-06-21 10:05:07.393,CA,ON,Toronto,43.66313,-79.37417
4614208,2017-06-21 01:05:09.593,CA,AB,Calgary,51.05341,-114.11848
4614783,2017-06-21 02:05:09.667,CA,AB,Calgary,50.94553,-114.07608
4614830,2017-06-21 13:05:09.787,CA,QC,Outremont,45.51351,-73.59005
4614940,2017-06-21 19:05:09.483,CA,AB,Innisfail,52.31835,-113.81389
4615028,2017-06-21 06:05:09.610,CA,ON,London,42.98350,-81.23860
4615645,2017-06-21 09:05:16.353,CA,AB,Airdrie,51.28460,-113.97943
4615780,2017-06-21 00:05:16.750,CA,ON,Thorold,43.11236,-79.21945
4617154,2017-06-21 09:05:23.813,CA,AB,Edmonton,53.41643,-113.42923
4617636,2017-06-21 18:05:26.407,CA,QC,Laval,45.56757,-73.68657
4617922,2017-06-21 22:05:25.173,CA,QC,Laval,45.57710,-73.68730
4617956,2017-06-21 03:05:25.570,CA,QC,Saint-Romuald,46.74799,-71.23113
4618104,2017-06-21 20:05:25.363,CA,QC,Gatineau,45.47614,-75.69905
4618112,2017-06-21 13:05:26.327,CA,ON,Etobicoke,43.73688,-79.57607
4618747,2017-06-21 10:05:34.063,CA,AB,Edmonton,53.53516,-113.49776
4618884,2017-06-21 05:05:33.390,CA,ON,Brampton,43.72973,-79.71619
4619091,2017-06-21 05:05:33.423,CA,NB,Jacksonville,46.20000,-67.61670
4619288,2017-06-21 15:05:34.707,CA,BC,Richmond,49.18645,-123.08708
4620263,2017-06-21 22:05:40.283,CA,ON,Oakville,43.49950,-79.70670
4621433,2017-06-21 05:05:40.263,CA,ON,Woolwich,43.54250,-80.42780
4621520,2017-06-21 19:05:43.770,CA,AB,Sherwood Park,53.52285,-113.33206
4622018,2017-06-21 06:05:44.940,CA,AB,Edmonton,53.41650,-113.42920
4622134,2017-06-21 03:05:42.433,CA,QC,Montréal,45.51040,-73.55700
4622589,2017-06-21 03:05:47.277,CA,BC,Richmond,49.18085,-123.12186
4622636,2017-06-21 13:05:47.410,CA,AB,Fort Mcmurray,56.68414,-111.35061
4622917,2017-06-21 14:05:47.247,CA,BC,108 Mile Ranch,51.73946,-121.33774
4623114,2017-06-21 00:05:45.777,CA,AB,Calgary,51.14286,-114.21753
4623140,2017-06-21 11:05:47.320,CA,AB,Edmonton,53.47490,-113.54100
4623264,2017-06-21 09:05:49.130,CA,AB,Edmonton,53.43354,-113.61115
4623587,2017-06-21 03:05:47.317,CA,AB,Edmonton,53.55581,-113.60453
4623647,2017-06-21 04:05:47.353,CA,AB,Edmonton,53.43110,-113.51900
4624028,2017-06-21 19:05:48.630,CA,AB,Jasper,52.85220,-118.08258
4624255,2017-06-21 20:05:55.180,CA,SK,Saskatoon,52.13232,-106.65693
4624334,2017-06-21 04:05:55.573,CA,ON,Cambridge,43.40170,-80.35230
4624474,2017-06-21 19:05:54.610,CA,AB,Edmonton,53.60827,-113.48303
4625261,2017-06-21 15:05:54.540,CA,BC,Harrison Hot Springs,49.30138,-121.78452
4626401,2017-06-21 01:05:56.050,CA,AB,Spruce Grove,53.54641,-113.92072
4626822,2017-06-21 13:05:56.220,CA,ON,Mississauga,43.72268,-79.64510
4627611,2017-06-21 19:05:57.137,CA,ON,Latchford,47.32525,-79.81152
4627780,2017-06-21 16:06:02.180,CA,AB,Edmonton,53.42122,-113.63969
4628564,2017-06-21 12:06:04.870,CA,AB,Edmonton,53.56820,-113.46700
4628572,2017-06-21 16:06:02.217,CA,AB,Strathcona County,53.56180,-113.25830
4628967,2017-06-21 20:06:03.323,CA,BC,Surrey,49.12095,-122.86783
4629326,2017-06-21 15:06:02.983,CA,AB,Edmonton,53.44673,-113.38986
4629420,2017-06-21 08:06:03.450,CA,AB,Calgary,50.91208,-114.11891
4629519,2017-06-21 20:06:06.310,CA,AB,Edmonton,53.58423,-113.41604
4630122,2017-06-21 19:06:10.493,CA,AB,Edmonton,53.73530,-113.33690
4630340,2017-06-21 19:06:11.287,CA,AB,Calgary,51.04938,-113.94482
4630476,2017-06-21 19:06:11.977,CA,ON,Toronto,43.66699,-79.37618
4630961,2017-06-21 08:06:13.103,CA,ON,Innisfil,44.29603,-79.75424
4631237,2017-06-21 14:06:14.280,CA,ON,Toronto,35.72434,51.40991
4631281,2017-06-21 09:06:15.480,CA,ON,Markham,43.87300,-79.26200
4632235,2017-06-21 21:06:17.240,CA,ON,Etobicoke,43.69880,-79.56440
4632718,2017-06-21 04:06:22.693,CA,BC,Vancouver,49.27629,-123.12430
4632814,2017-06-21 12:06:19.773,CA,ON,Perrault Falls,50.35114,-93.13424
4633000,2017-06-21 11:06:23.147,CA,BC,Kelowna,49.94215,-119.36233
4633206,2017-06-21 15:06:26.480,CA,BC,Coquitlam,49.28088,-122.80073
4633614,2017-06-21 19:06:26.577,CA,NS,Weymouth,44.33510,-65.91701
4633632,2017-06-21 04:06:26.997,CA,ON,Brampton,43.74894,-79.71468
4633784,2017-06-21 06:06:25.907,CA,ON,Scarborough,43.81620,-79.21721
4633884,2017-06-21 22:06:26.713,CA,AB,Duchess,50.73103,-111.91318
4634020,2017-06-21 05:06:26.967,CA,QC,Montréal,45.50613,-73.57111
4634134,2017-06-21 00:06:30.230,CA,AB,Calgary,50.98201,-114.00414
4635021,2017-06-21 10:06:33.093,CA,AB,Calgary,51.01380,-114.05300
4636260,2017-06-21 06:06:40.860,CA,AB,Fort Saskatchewan,53.68882,-113.25961
4636348,2017-06-21 21:06:41.790,CA,MB,Brandon,49.85560,-99.96291
4636372,2017-06-21 20:06:41.957,CA,NS,Halifax,44.61390,-63.59460
4636469,2017-06-21 14:06:41.133,CA,AB,Edmonton,53.57609,-113.54585
4636839,2017-06-21 01:06:41.633,CA,BC,Richmond,49.13466,-123.06570
4636928,2017-06-21 19:06:41.697,CA,BC,Victoria,48.45340,-123.43400
4637021,2017-06-21 07:06:42.070,CA,NB,Hampton,45.51270,-65.81540
4637417,2017-06-21 04:06:40.950,CA,AB,Edmonton,53.59158,-113.38987
4637724,2017-06-21 09:06:44.890,CA,AB,Edmonton,53.52267,-113.60160
4637732,2017-06-21 00:06:43.607,CA,AB,Calgary,50.91431,-114.02187
4637825,2017-06-21 14:06:45.363,CA,BC,New Westminster,49.20282,-122.91085
4638399,2017-06-21 14:06:45.000,CA,BC,Vancouver,49.26825,-123.16874
4638406,2017-06-21 20:06:45.377,CA,BC,W Vancouver,49.21128,-123.10659
4638701,2017-06-21 17:06:48.050,CA,ON,Caledon,43.94530,-79.96910
4640067,2017-06-21 09:06:57.230,CA,ON,Burlington,43.35630,-79.81089
4640302,2017-06-21 15:06:56.893,CA,ON,Thunder Bay,48.39560,-89.29050
4641148,2017-06-21 20:06:57.510,CA,ON,Toronto,43.65483,-79.41719
4641214,2017-06-21 16:06:56.093,CA,AB,Edmonton,53.44532,-113.53916
4641587,2017-06-21 15:06:56.803,CA,NB,Shediac,46.22270,-64.52280
4642002,2017-06-21 05:07:03.113,CA,ON,Mississauga,43.53590,-79.71000
4642525,2017-06-21 14:07:04.117,CA,AB,Edmonton,53.45585,-113.59105
4642575,2017-06-21 00:07:03.087,CA,AB,Coaldale,49.72720,-112.57153
4642811,2017-06-21 14:07:06.563,CA,AB,Calgary,51.07540,-114.11600
4643857,2017-06-21 21:07:11.720,CA,ON,Pickering,43.80884,-79.12575
4644181,2017-06-21 00:07:12.440,CA,ON,Kingston,44.27264,-76.47826
4644625,2017-06-21 03:07:11.873,CA,ON,North York,43.73460,-79.44470
4644823,2017-06-21 15:07:12.153,CA,ON,Brantford,43.13488,-80.25593
4644955,2017-06-21 03:07:12.220,CA,ON,Etobicoke,43.71171,-79.54266
4645110,2017-06-21 01:07:12.403,CA,NL,St. John's,47.56646,-52.73029
4645186,2017-06-21 05:07:12.987,CA,AB,Calgary,51.09420,-114.15391
4645430,2017-06-21 10:07:11.960,CA,ON,London,42.97573,-81.31872
